시장,업종구분,종목명,종목코드,시가총액,유통비율,업종코드
Q,유통,예스24,053280,1030 ,44,108
Q,기계/장비,예스티,122640,3401 ,70,123
Q,일반서비스,오가노이드사이언스,476040,2008 ,55,103
Q,,오가닉티코스메틱,900300,427 ,27,101
Q,화학,오공,045060,440 ,69,119
Q,전기/전자,오늘이엔엠,192410,186 ,78,124
Q,전기/전자,오디텍,080520,376 ,63,124
Q,일반서비스,오로라,039830,700 ,41,103
Q,기계/장비,오로스테크놀로지,322310,2061 ,43,123
Q,일반서비스,오르비텍,046120,821 ,87,103
Q,제약,오름테라퓨틱,475830,3755 ,38,120
Q,기계/장비,오리엔탈정공,014940,2680 ,53,123
Q,운송장비/부품,오리엔트정공,065500,1506 ,74,126
Q,일반서비스,오리콤,010470,751 ,35,103
Q,IT 서비스,오브젠,417860,696 ,43,129
Q,IT 서비스,오비고,352910,586 ,68,129
Q,IT 서비스,오상자이엘,053980,719 ,63,129
Q,의료/정밀기기,오상헬스케어,036220,3120 ,38,125
Q,화학,오성첨단소재,052420,1368 ,69,119
Q,유통,오션인더블유,052300,468 ,66,108
Q,제약,오스코텍,039200,10729 ,90,120
Q,의료/정밀기기,오스테오닉,226400,1341 ,77,125
Q,운송장비/부품,오스템,031510,305 ,74,126
Q,음식료/담배,오에스피,368970,265 ,52,115
Q,전기/전자,오이솔루션,138080,1056 ,67,124
Q,전기/전자,오킨스전자,080580,1105 ,78,124
Q,운송장비/부품,오텍,067170,381 ,62,126
Q,유통,오토앤,353590,468 ,74,108
Q,IT 서비스,오파스넷,173130,891 ,58,129
Q,IT 서비스,오픈놀,440320,538 ,50,129
Q,IT 서비스,오픈베이스,049480,768 ,59,129
Q,IT 서비스,오픈엣지테크놀로지,394280,2909 ,68,129
Q,유통,오하임앤컴퍼니,309930,756 ,69,108
Q,일반서비스,온코닉테라퓨틱스,476060,2718 ,41,103
Q,일반서비스,온코크로스,382150,1505 ,39,103
Q,제약,올리패스,244460,90 ,91,120
Q,일반서비스,올릭스,226950,8612 ,81,103
Q,의료/정밀기기,옴니시스템,057540,579 ,76,125
Q,제약,옵투스제약,131030,1005 ,55,120
Q,의료/정밀기기,옵트론텍,082210,574 ,79,125
Q,전기/전자,옵티시스,109080,513 ,54,124
Q,전기/전자,옵티코어,380540,883 ,57,124
Q,제약,옵티팜,153710,728 ,58,120
Q,오락/문화,와이랩,432430,985 ,77,141
Q,일반서비스,와이바이오로직스,338840,1459 ,69,103
Q,전기/전자,와이솔,122990,1754 ,64,124
Q,기계/장비,와이씨,232140,8114 ,45,123
Q,화학,와이씨켐,112290,2614 ,59,119
Q,통신,와이어블,065530,700 ,45,128
Q,일반서비스,와이엔텍,067900,1287 ,52,103
Q,금속,와이엠,007530,513 ,59,122
Q,전기/전자,와이엠씨,155650,692 ,58,124
Q,전기/전자,와이엠텍,273640,1097 ,43,124
Q,화학,와이엠티,251370,1664 ,58,119
Q,유통,와이오엠,066430,488 ,85,108
Q,기계/장비,와이제이링크,209640,1206 ,51,123
Q,IT 서비스,와이즈넛,096250,2331 ,70,129
Q,일반서비스,와이즈버즈,273060,559 ,53,103
Q,금속,와이지-원,019210,2135 ,65,122
Q,오락/문화,와이지엔터테인먼트,122870,15981 ,72,141
Q,화학,와토스코리아,079000,369 ,24,119
Q,음식료/담배,우듬지팜,403490,949 ,60,115
Q,전기/전자,우리기술,032820,4511 ,91,124
Q,금융,우리기술투자,041190,8173 ,61,111
Q,전기/전자,우리넷,115440,710 ,69,124
Q,유통,우리로,046970,594 ,75,108
Q,음식료/담배,우리바이오,082850,1168 ,63,115
Q,운송장비/부품,우리산업,215360,865 ,60,126
Q,운송장비/부품,우리산업홀딩스,072470,613 ,21,126
Q,음식료/담배,우리손에프앤지,073560,1001 ,49,115
Q,유통,우리엔터프라이즈,037400,297 ,64,108
Q,전기/전자,우리이앤엘,153490,366 ,58,124
Q,기계/장비,우림피티에스,101170,684 ,43,123
Q,운송장비/부품,우수AMS,066590,1235 ,87,126
Q,음식료/담배,우양,103840,487 ,66,115
Q,금속,우양에이치씨,101970,2285 ,23,122
Q,건설,우원개발,046940,549 ,65,107
Q,일반서비스,우정바이오,215380,302 ,60,103
Q,전기/전자,우주일렉트로,065680,3049 ,54,124
Q,제약,우진비앤지,018620,275 ,76,120
Q,일반서비스,우진엔텍,457550,2054 ,54,103
Q,기계/장비,워트,396470,1299 ,41,123
Q,제약,원바이오젠,307280,417 ,64,120
Q,유통,원익,032940,1221 ,53,108
Q,기계/장비,원익IPS,240810,12320 ,66,123
Q,비금속,원익QnC,074600,4574 ,59,121
Q,화학,원익머트리얼즈,104830,2774 ,54,119
Q,유통,원익큐브,014190,537 ,67,108
Q,기계/장비,원익피앤이,217820,1338 ,60,123
Q,화학,원익홀딩스,030530,4125 ,49,119
Q,금속,원일특강,012620,343 ,55,122
Q,기계/장비,원일티엔아이,136150,2317 ,31,123
Q,기계/장비,원준,382840,1374 ,58,123
Q,의료/정밀기기,원텍,336570,9302 ,47,125
Q,IT 서비스,원티드랩,376980,520 ,69,129
Q,화학,원풍,008370,524 ,34,119
Q,섬유/의류,원풍물산,008290,210 ,64,116
Q,전기/전자,월덱스,101160,3263 ,64,124
Q,IT 서비스,웨이버스,336060,608 ,52,129
Q,의료/정밀기기,웨이브일렉트로,095270,808 ,66,125
Q,전기/전자,웨이비스,289930,1338 ,70,124
Q,섬유/의류,웰크론,065950,620 ,76,116
Q,건설,웰크론한텍,076080,386 ,63,107
Q,전기/전자,웰킵스하이텍,043590,176 ,43,124
Q,화학,웹스,196700,215 ,60,119
Q,IT 서비스,웹젠,069080,5086 ,55,129
Q,IT 서비스,웹케시,053580,2630 ,59,129
Q,전기/전자,위너스,479960,1000 ,25,124
Q,전기/전자,위니아,071460,12 ,87,124
Q,일반서비스,위니아에이드,377460,260 ,89,103
Q,전기/전자,위닉스,044340,1206 ,40,124
Q,제약,위더스제약,330350,1046 ,43,120
Q,의료/정밀기기,위드텍,348350,787 ,35,125
Q,IT 서비스,위메이드,112040,10779 ,60,129
Q,IT 서비스,위메이드맥스,101730,7116 ,24,129
Q,IT 서비스,위메이드플레이,123420,880 ,56,129
Q,IT 서비스,위세아이텍,065370,636 ,59,129
Q,유통,위즈코프,038620,474 ,68,108
Q,오락/문화,위지윅스튜디오,299900,2326 ,61,141
Q,기계/장비,위지트,036090,861 ,64,123
Q,전기/전자,위츠,459100,852 ,16,124
Q,IT 서비스,윈스테크넷,136540,1514 ,43,129
Q,전기/전자,윈팩,097800,633 ,61,124
Q,금속,윈하이텍,192390,330 ,50,122
Q,유통,윙스풋,335870,393 ,47,108
Q,,윙입푸드,900340,652 ,54,101
Q,기계/장비,유니셈,036200,1901 ,66,123
Q,기계/장비,유니슨,018000,2734 ,89,123
Q,전기/전자,유니온바이오메트릭스,203450,436 ,59,124
Q,운송장비/부품,유니크,011320,753 ,60,126
Q,기계/장비,유니테스트,086390,2367 ,75,123
Q,운송장비/부품,유니테크노,241690,734 ,35,126
Q,유통,유니트론텍,142210,1134 ,75,108
Q,IT 서비스,유디엠텍,389680,272 ,47,129
Q,IT 서비스,유라클,088340,1050 ,58,129
Q,전기/전자,유라테크,048430,1052 ,29,124
Q,제약,유바이오로직스,206650,4567 ,79,120
Q,IT 서비스,유비벨록스,089850,1008 ,68,129
Q,IT 서비스,유비온,084440,234 ,61,129
Q,IT 서비스,유비케어,032620,2140 ,44,129
Q,전기/전자,유비쿼스,264450,1152 ,56,124
Q,금융,유비쿼스홀딩스,078070,1718 ,40,111
Q,운송/창고,유성티엔에스,024800,1089 ,28,110
Q,일반서비스,유신,054930,774 ,49,103
Q,전기/전자,유아이디,069330,173 ,65,124
Q,전기/전자,유아이엘,049520,1196 ,47,124
Q,금융,유안타제11호스팩,444920,108 ,94,111
Q,금융,유안타제12호스팩,446150,105 ,94,111
Q,금융,유안타제13호스팩,449020,203 ,87,111
Q,금융,유안타제14호스팩,450940,94 ,89,111
Q,금융,유안타제15호스팩,473050,141 ,95,111
Q,금융,유안타제16호스팩,474490,112 ,94,111
Q,금융,유안타제17호스팩,493790,107 ,94,111
Q,금속,유에스티,263770,492 ,28,122
Q,기계/장비,유일로보틱스,388720,8658 ,49,123
Q,기계/장비,유일에너테크,340930,493 ,55,123
Q,비금속,유진기업,023410,2818 ,49,121
Q,기계/장비,유진로봇,056080,3785 ,48,123
Q,금융,유진스팩10호,468760,90 ,92,111
Q,금융,유진스팩11호,488060,97 ,95,111
Q,금융,유진스팩9호,442130,74 ,91,111
Q,기계/장비,유진테크,084370,8192 ,60,123
Q,금속,유진테크놀로지,240600,296 ,61,122
Q,일반서비스,유투바이오,221800,343 ,55,103
Q,전기/전자,유티아이,179900,4237 ,60,124
Q,제약,유틸렉스,263050,501 ,87,120
Q,전기/전자,육일씨엔에쓰,191410,211 ,57,124
Q,기계/장비,윤성에프앤씨,372170,2202 ,41,123
Q,금속,율촌,146060,331 ,45,122
Q,IT 서비스,율호,072770,455 ,86,129
Q,종이/목재,이건홀딩스,039020,1101 ,44,117
Q,IT 서비스,이글루,067920,610 ,71,129
Q,유통,이글벳,044960,559 ,58,108
Q,IT 서비스,이노뎁,303530,520 ,61,129
Q,IT 서비스,이노룰스,296640,396 ,61,129
Q,기계/장비,이노메트리,302430,816 ,57,123
Q,운송장비/부품,이노스페이스,462350,1668 ,66,126
Q,IT 서비스,이노시뮬레이션,274400,380 ,71,129
Q,전기/전자,이노와이어리스,073490,1515 ,69,124
Q,전기/전자,이노인스트루먼트,215790,182 ,71,124
Q,화학,이노진,344860,257 ,58,119
Q,운송장비/부품,이녹스,088390,694 ,30,126
Q,전기/전자,이녹스첨단소재,272290,4521 ,60,124
Q,IT 서비스,이니텍,053350,1898 ,44,129
Q,운송장비/부품,이닉스,452400,764 ,29,126
Q,전기/전자,이랜시스,264850,1445 ,60,124
Q,전기/전자,이랜텍,054210,1386 ,59,124
Q,금속,이렘,009730,540 ,82,122
Q,IT 서비스,이루온,065440,476 ,81,129
Q,일반서비스,이뮨온시아,424870,4030 ,29,103
Q,전기/전자,이미지스,115610,248 ,72,124
Q,금융,이베스트스팩6호,478110,101 ,80,111
Q,전기/전자,이브이첨단소재,131400,801 ,82,124
Q,IT 서비스,이삭엔지니어링,351330,623 ,43,129
Q,유통,이상네트웍스,080010,567 ,40,108
Q,제약,이수앱지스,086890,1862 ,65,120
Q,IT 서비스,이스트소프트,047560,2417 ,66,129
Q,,이스트아시아홀딩스,900110,373 ,53,101
Q,IT 서비스,이스트에이드,239340,637 ,48,129
Q,IT 서비스,이씨에스,067010,356 ,62,129
